TITLE;YEAR;IMDB RATING;USER RATINGS
A Malvada;1950;8.2; 127,585
Quanto Mais Quente Melhor;1959;8.2; 257,840
Batman Begins;2005;8.2; 1,382,293
Os Imperdoáveis;1992;8.2; 397,362
Filhos do Paraíso;1997;8.2; 71,696
Jai Bhim;2021;8.2; 165,289
O Castelo Animado;2004;8.2; 366,933
O Lobo de Wall Street;2013;8.2; 1,298,808
Julgamento em Nuremberg;1961;8.2; 74,770
Sangue Negro;2007;8.2; 555,491
Fugindo do Inferno;1963;8.2; 236,865
Cassino;1995;8.2; 495,995
O Tesouro da Sierra Madre;1948;8.2; 121,290
O Labirinto do Fauno;2006;8.1; 646,416
Uma Mente Brilhante;2001;8.1; 894,019
O Segredo dos Seus Olhos;2009;8.1; 203,409
Touro Indomável;1980;8.1; 340,138
Chinatown;1974;8.1; 313,919
Meu Amigo Totoro;1988;8.1; 318,144
Ilha do Medo;2010;8.1; 1,223,919
Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1; 562,452
Dersu Uzala;1975;8.1; 26,643
Onde os Fracos Não Têm Vez;2007;8.1; 919,260
Disque M para Matar;1954;8.1; 169,272
Klaus;2019;8.1; 135,270
Em Busca do Ouro;1925;8.1; 107,854
O Enigma de Outro Mundo;1982;8.1; 400,700
Três Anúncios para um Crime;2017;8.1; 477,070
O Sétimo Selo;1957;8.1; 178,288
O Homem Elefante;1980;8.1; 233,387
O Sexto Sentido;1999;8.1; 953,673
O Show de Truman: O Show da Vida;1998;8.1; 1,009,304
Jurassic Park: O Parque dos Dinossauros;1993;8.1; 925,119
Morangos Silvestres;1957;8.1; 103,734
O 3º Homem;1949;8.1; 167,218
Memórias de um Assassino;2003;8.1; 165,201
V de Vingança;2005;8.1; 1,082,222
Blade Runner: O Caçador de Androides;1982;8.1; 735,061
Trainspotting: Sem Limites;1996;8.1; 663,858
Divertida Mente;2015;8.1; 668,170
A Ponte do Rio Kwai;1957;8.1; 213,803
Fargo: Uma Comédia de Erros;1996;8.1; 652,309
Procurando Nemo;2003;8.1; 998,219
Guerreiro;2011;8.1; 455,168
Kill Bill: Volume 1;2003;8.1; 1,063,279
...E o Vento Levou;1939;8.1; 305,095
Era uma Vez em Tóquio;1953;8.1; 58,877
Sindicato de Ladrões;1954;8.1; 150,294
Meu Pai e Meu Filho;2005;8.1; 84,223
Duna;2021;8.1; 430,239
Relatos Selvagens;2014;8.1; 189,841
Stalker;1979;8.1; 128,784
Os Suspeitos;2013;8.1; 655,709
O Franco Atirador;1978;8.1; 328,544
O Grande Hotel Budapeste;2014;8.1; 761,954
A General;1926;8.1; 88,119
Bancando o Águia;1924;8.1; 47,072
Quando Duas Mulheres Pecam;1966;8.1; 112,825
Gran Torino;2008;8.1; 750,794
Antes do Amanhecer;1995;8.1; 291,953
Z;1969;8.1; 26,964
Mary e Max: Uma Amizade Diferente;2009;8.1; 172,595
Prenda-me se for Capaz;2002;8.1; 910,068
A Mulher Faz o Homem;1939;8.1; 112,724
Em Nome do Pai;1993;8.1; 168,232
Barry Lyndon;1975;8.1; 160,893
Garota Exemplar;2014;8.1; 927,863
O Quarto de Jack;2015;8.1; 399,559
Até o Último Homem;2016;8.1; 482,245
O Martírio de Joana D'Arc;1928;8.1; 52,331
Assassinato às Cegas;2018;8.1; 86,003
Ford vs Ferrari;2019;8.1; 349,428
12 Anos de Escravidão;2013;8.1; 673,659
Ser ou Não Ser;1942;8.1; 34,809
O Grande Lebowski;1998;8.1; 777,031
Sociedade dos Poetas Mortos;1989;8.1; 458,837
Como Treinar o Seu Dragão;2010;8.1; 704,586
Ben-Hur;1959;8.1; 231,440
Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1; 821,442
Mad Max: Estrada da Fúria;2015;8.1; 946,108
Sonata de Outono;1978;8.1; 32,543
Menina de Ouro;2004;8.1; 665,333
O Salário do Medo;1953;8.1; 59,006
Conta Comigo;1986;8.1; 385,154
A Criada;2016;8.1; 132,663
Rede de Intrigas;1976;8.1; 154,139
Logan;2017;8.1; 705,744
O Ódio;1995;8.0; 163,656
Rebeldia Indomável;1967;8.0; 172,061
Sempre ao Seu Lado;2009;8.0; 271,231
A Voz do Silêncio;2016;8.0; 68,663
Os Incompreendidos;1959;8.0; 113,224
Gangues de Wasseypur;2012;8.0; 91,733
Platoon;1986;8.0; 400,090
Spotlight: Segredos Revelados;2015;8.0; 450,133
Monstros S.A.;2001;8.0; 864,703
Rebecca, a Mulher Inesquecível;1940;8.0; 132,843
A Vida de Brian;1979;8.0; 386,626
Amor à Flor da Pele;2000;8.0; 140,561
Hotel Ruanda;2004;8.0; 346,887
O Bandido;1996;8.0; 68,668
Rush: No Limite da Emoção;2013;8.0; 459,789
Rocky: Um Lutador;1976;8.0; 548,622
Amores Brutos;2000;8.0; 234,424
Na Natureza Selvagem;2007;8.0; 602,423
Nausicaä do Vale do Vento;1984;8.0; 162,906
Aconteceu Naquela Noite;1934;8.0; 100,291
Antes do Pôr-do-Sol;2004;8.0; 251,905
Fanny e Alexander;1982;8.0; 62,137
Neon Genesis Evangelion: O Fim do Evangelho;1997;8.0; 49,320
Andrei Rublev;1966;8.0; 51,821
A Batalha de Argel;1966;8.0; 57,815
Noites de Cabíria;1957;8.0; 47,122
A Princesa Prometida;1987;8.0; 415,141
Soorarai Pottru;2020;8.0; 105,684
Paris, Texas;1984;8.0; 101,533
